Cancer Type,Coumarin Type,Coumarin Dose,Time,Viability
2,0,100.0,48,35.59
2,0,12.5,48,66.42
2,0,25.0,48,44.77
2,0,50.0,48,29.35
2,0,100.0,48,29.72
2,0,12.5,48,86.97
2,0,25.0,48,84.4
2,0,50.0,48,48.44
2,0,100.0,48,44.03
2,0,16.7,24,93.61
2,0,33.4,24,85.81
2,0,66.8,24,78.95
2,0,133.6,24,52.0
2,0,16.7,48,92.67
2,0,33.4,48,79.9
2,0,66.8,48,53.19
2,0,133.6,48,37.58
2,0,16.7,72,97.87
2,0,33.4,72,91.48
2,0,66.8,72,60.04
2,0,133.6,72,44.2
0,0,35.0,48,92.86
0,0,50.0,48,32.27
0,0,75.0,48,22.41
0,0,100.0,48,24.38
0,0,6.25,24,94.44
0,0,12.5,24,92.59
0,0,25.0,24,87.03
0,0,50.0,24,84.07
0,0,100.0,24,58.14
0,0,200.0,24,41.48
4,0,6.25,24,99.08
4,0,12.5,24,96.19
4,0,25.0,24,41.03
4,0,50.0,24,6.47
4,0,100.0,24,5.21
3,0,6.25,24,82.72
3,0,12.5,24,78.88
3,0,25.0,24,64.25
3,0,50.0,24,33.18
3,0,100.0,24,24.88
1,0,6.25,24,99.46
1,0,12.5,24,95.07
1,0,25.0,24,75.78
1,0,50.0,24,46.24
1,0,100.0,24,5.71
6,0,230.0,72,66.62
6,0,250.0,72,60.16
6,0,270.0,72,41.47
6,0,290.0,72,13.59
6,0,230.0,72,78.64
6,0,250.0,72,75.59
6,0,270.0,72,55.25
6,0,290.0,72,47.11
6,0,230.0,72,73.14
6,0,250.0,72,58.98
6,0,270.0,72,45.5
6,0,290.0,72,37.41
5,1,100.0,24,80.2
5,1,200.0,24,77.8
5,1,300.0,24,72.2
5,1,500.0,24,69.8
5,1,100.0,48,46.36
5,1,200.0,48,45.83
5,1,300.0,48,43.69
5,1,500.0,48,42.1
5,1,100.0,72,41.56
5,1,200.0,72,42.1
5,1,300.0,72,38.63
5,1,500.0,72,34.9
5,1,100.0,24,74.34
5,1,200.0,24,57.88
5,1,300.0,24,48.58
5,1,500.0,24,43.81
5,1,100.0,48,74.87
5,1,200.0,48,41.15
5,1,300.0,48,22.04
5,1,500.0,48,17.52
5,1,100.0,72,49.91
5,1,200.0,72,32.92
5,1,300.0,72,26.02
5,1,500.0,72,18.05
5,1,100.0,24,68.5
5,1,200.0,24,68.21
5,1,300.0,24,59.83
5,1,500.0,24,56.07
5,1,100.0,48,55.49
5,1,200.0,48,45.09
5,1,300.0,48,42.49
5,1,500.0,48,41.33
5,1,100.0,72,42.2
5,1,200.0,72,28.03
5,1,300.0,72,25.43
5,1,500.0,72,20.23
0,1,20.0,24,85.09
0,1,40.0,24,57.88
0,1,60.0,24,40.19
0,1,80.0,24,32.01
0,1,100.0,24,14.31
0,1,20.0,24,91.91
0,1,40.0,24,62.39
0,1,60.0,24,34.16
0,1,80.0,24,12.14
0,1,100.0,24,2.75
0,1,20.0,24,84.63
0,1,40.0,24,55.5
0,1,60.0,24,27.19
0,1,80.0,24,8.27
0,1,100.0,24,2.88
1,1,200.0,24,72.15
1,1,200.0,48,56.87
1,1,200.0,72,16.93
1,1,400.0,24,63.13
1,1,400.0,48,49.69
1,1,400.0,72,13.44
1,1,600.0,24,56.13
1,1,600.0,48,32.94
1,1,600.0,72,11.41
1,1,112.27,48,97.07
1,1,224.54,48,61.09
1,1,336.81,48,45.07
1,1,449.08,48,32.82
1,1,20.0,24,98.84
1,1,40.0,24,90.62
1,1,60.0,24,64.73
1,1,80.0,24,45.56
1,1,100.0,24,32.37
1,1,20.0,48,97.1
1,1,40.0,48,67.47
1,1,60.0,48,42.07
1,1,80.0,48,16.43
1,1,100.0,48,11.95
1,1,20.0,72,84.65
1,1,40.0,72,66.22
1,1,60.0,72,27.88
1,1,80.0,72,13.69
1,1,100.0,72,9.46
1,1,20.0,24,100.0
1,1,40.0,24,94.76
1,1,60.0,24,75.48
1,1,80.0,24,63.57
1,1,100.0,24,49.52
1,1,20.0,48,95.24
1,1,40.0,48,85.24
1,1,60.0,48,67.38
1,1,80.0,48,46.43
1,1,100.0,48,30.95
1,1,20.0,72,90.48
1,1,40.0,72,84.76
1,1,60.0,72,52.38
1,1,80.0,72,33.1
1,1,100.0,72,24.29
1,1,20.0,72,93.52
1,1,40.0,72,67.22
1,1,60.0,72,55.48
1,1,80.0,72,43.96
1,1,20.0,72,84.88
1,1,40.0,72,67.67
1,1,60.0,72,49.53
1,1,80.0,72,33.02
1,1,20.0,72,91.12
1,1,40.0,72,72.34
1,1,60.0,72,48.62
1,1,80.0,72,30.79
4,1,140.34,24,77.96
4,1,280.68,24,61.22
4,1,561.36,24,49.39
4,1,842.03,24,42.86
4,1,140.34,48,69.8
4,1,280.68,48,57.14
4,1,561.36,48,38.78
4,1,842.03,48,24.08
4,1,140.34,24,87.35
4,1,280.68,24,62.86
4,1,561.36,24,56.73
4,1,842.03,24,41.63
4,1,140.34,48,65.71
4,1,280.68,48,43.27
4,1,561.36,48,36.73
4,1,842.03,48,24.9
4,1,2.54,24,93.19
4,1,4.98,24,85.26
4,1,9.95,24,64.65
4,1,20.01,24,50.66
4,1,40.02,24,48.39
4,1,2.54,48,82.42
4,1,5.03,48,70.32
4,1,10.11,48,46.88
4,1,20.01,48,29.3
4,1,40.02,48,23.06
2,1,12.5,24,87.89
2,1,25.0,24,75.79
2,1,50.0,24,60.68
2,1,100.0,24,48.59
2,1,150.0,24,33.15
2,1,12.5,48,83.19
2,1,25.0,48,67.08
2,1,50.0,48,54.98
2,1,100.0,48,43.89
2,1,150.0,48,25.11
2,1,12.5,72,79.16
2,1,25.0,72,58.37
2,1,50.0,72,51.96
2,1,100.0,72,40.2
2,1,150.0,72,23.08
3,1,56.14,24,83.3
3,1,112.27,24,3.5
3,1,168.41,24,18.64
3,1,224.54,24,9.32
3,1,280.68,24,5.83
1,1,140.34,24,79.37
1,1,280.68,24,60.31
1,1,561.36,24,43.5
1,1,1122.71,24,21.75
6,1,25.0,48,93.66
6,1,75.0,48,69.83
6,1,150.0,48,62.3
6,1,300.0,48,53.1
6,1,25.0,48,82.79
6,1,75.0,48,61.46
6,1,150.0,48,54.77
6,1,300.0,48,53.1
6,1,9.4,24,91.15
6,1,18.8,24,89.06
6,1,37.5,24,88.64
6,1,75.0,24,85.3
6,1,150.0,24,82.37
6,1,300.0,24,80.7
6,1,600.0,24,69.83
6,1,9.4,48,90.31
6,1,18.8,48,81.11
6,1,37.5,48,70.66
6,1,75.0,48,56.86
6,1,150.0,48,53.1
6,1,300.0,48,38.89
6,1,600.0,48,35.54
6,1,9.4,72,91.15
6,1,18.8,72,68.15
6,1,37.5,72,48.08
6,1,75.0,72,35.96
6,1,150.0,72,28.85
6,1,300.0,72,25.92
6,1,600.0,72,19.23
6,1,25.0,48,83.21
6,1,75.0,48,56.86
6,1,150.0,48,52.68
6,1,300.0,48,38.47
2,1,140.0,24,91.95
2,1,280.0,24,84.95
2,1,560.0,24,78.47
2,1,850.0,24,57.62
2,1,140.0,48,89.88
2,1,280.0,48,86.27
2,1,560.0,48,75.6
2,1,850.0,48,57.89
2,1,140.0,72,89.1
2,1,280.0,72,82.36
2,1,560.0,72,60.56
2,1,850.0,72,62.34
6,2,120.0,48,26.13
6,2,100.0,48,42.66
6,2,60.0,48,63.19
6,2,40.0,48,76.8
6,2,20.0,48,93.86
6,2,120.0,48,45.13
6,2,100.0,48,51.62
6,2,80.0,48,71.09
6,2,60.0,48,75.22
6,2,40.0,48,85.25
6,2,20.0,48,97.34
4,2,25.1,48,80.45
4,2,62.7,48,57.8
4,2,125.4,48,27.72
4,2,250.8,48,8.79
4,2,376.2,48,0.68
0,2,25.1,48,89.58
0,2,62.7,48,89.58
0,2,125.4,48,66.25
0,2,250.8,48,62.87
0,2,376.2,48,44.62
4,2,150.0,24,34.72
4,2,150.0,48,30.07
4,2,150.0,72,18.91
4,2,100.0,24,40.31
4,2,100.0,48,37.51
4,2,100.0,72,26.97
4,2,50.0,24,44.65
4,2,50.0,48,43.72
4,2,50.0,72,34.72
4,2,25.0,24,52.4
4,2,25.0,48,48.06
4,2,25.0,72,41.24
4,2,12.5,24,66.66
4,2,12.5,48,62.0
4,2,12.5,72,58.0
1,2,100.0,24,6.05
1,2,100.0,48,16.67
1,2,100.0,72,2.39
1,2,50.0,24,31.26
1,2,50.0,48,55.78
1,2,50.0,72,32.93
1,2,25.0,24,71.21
1,2,25.0,48,90.4
1,2,25.0,72,85.1
1,2,12.5,24,87.47
1,2,12.5,48,92.37
1,2,12.5,72,85.03
3,2,20.0,48,94.4
3,2,20.0,72,96.0
3,2,10.0,48,97.4
3,2,10.0,72,92.2
1,2,1.25,48,79.56
1,2,2.5,48,71.83
1,2,5.0,48,65.08
1,2,10.0,48,52.98
1,2,20.0,48,40.08
1,2,40.0,48,10.52
1,2,256.0,48,53.36
1,2,234.0,48,73.47
1,2,211.0,48,83.8
1,2,176.0,48,87.16
1,2,115.0,48,87.71
1,2,56.0,48,91.63
4,2,800.0,24,15.99
4,2,400.0,24,22.8
4,2,200.0,24,43.4
4,2,100.0,24,54.5
4,2,75.0,24,61.35
4,2,50.0,24,73.1
4,2,25.0,24,80.61
4,2,12.5,24,94.32
3,2,5.0,24,99.09
3,2,5.0,48,98.18
3,2,5.0,72,97.95
3,2,10.0,24,97.27
3,2,10.0,48,93.41
3,2,10.0,72,95.45
3,2,20.0,24,93.86
3,2,20.0,48,89.09
3,2,20.0,72,92.5
3,2,40.0,24,93.18
3,2,40.0,48,71.3
3,2,40.0,72,88.18
3,2,80.0,24,82.6
3,2,80.0,48,53.3
3,2,80.0,72,78.0
6,2,125.46,72,94.23
6,2,62.73,72,93.22
6,2,25.1,72,94.57
6,2,2.51,72,96.27
6,2,125.46,72,68.77
6,2,62.73,72,96.67
6,2,25.1,72,96.34
6,2,2.51,72,98.0
6,2,125.46,72,96.1
6,2,62.73,72,95.71
6,2,25.1,72,96.88
6,2,2.51,72,98.44
0,2,627.34,48,9.22
0,2,313.67,48,22.13
0,2,156.84,48,43.76
0,2,78.42,48,77.6
0,2,627.34,48,5.08
0,2,313.67,48,17.81
0,2,156.84,48,34.86
0,2,78.42,48,70.22
6,2,120.0,72,57.75
6,2,80.0,72,84.0
6,2,40.0,72,100.0
6,2,20.0,72,100.0
6,2,10.0,72,100.0
6,2,120.0,72,7.8
6,2,80.0,72,51.0
6,2,62.73,72,72.75
6,2,20.0,72,88.12
6,2,10.0,72,91.5
6,2,40.0,72,72.75
6,2,120.0,72,75.34
6,2,80.0,72,100.0
6,2,40.0,72,100.0
6,2,20.0,72,100.0
6,2,10.0,72,100.0
4,2,80.0,48,20.2
4,2,60.0,48,36.91
4,2,40.0,48,64.11
4,2,20.0,48,81.21
3,3,54.0,24,99.2
3,3,82.0,24,98.4
3,3,110.0,24,97.8
3,3,136.0,24,97.0
3,3,54.0,48,100.0
3,3,82.0,48,99.3
3,3,110.0,48,92.9
3,3,136.0,48,83.4
3,3,54.0,72,95.7
3,3,82.0,72,84.6
3,3,110.0,72,60.1
3,3,136.0,72,54.5
3,3,13.65,24,97.0
3,3,27.3,24,96.67
3,3,54.6,24,95.0
3,3,109.2,24,92.67
3,3,13.65,48,98.67
3,3,27.3,48,98.0
3,3,54.6,48,97.33
3,3,109.2,48,97.33
3,3,13.65,72,92.0
3,3,27.3,72,91.67
3,3,54.6,72,91.0
3,3,109.2,72,91.0
0,3,0.1,48,99.68
0,3,1.0,48,89.71
0,3,50.0,48,95.01
0,3,100.0,48,40.8
3,3,20.0,48,99.8
3,3,40.0,48,99.9
3,3,80.0,48,74.9
3,3,20.0,72,99.2
3,3,40.0,72,95.6
3,3,80.0,72,60.3
1,3,6.25,24,95.66
1,3,12.5,24,93.85
1,3,25.0,24,85.51
1,3,50.0,24,76.82
1,3,100.0,24,56.89
1,3,200.0,24,23.56
1,3,6.25,48,95.29
1,3,12.5,48,92.76
1,3,25.0,48,81.53
1,3,50.0,48,70.29
1,3,100.0,48,33.34
1,3,200.0,48,7.06
1,3,6.25,72,81.53
1,3,12.5,72,75.73
1,3,25.0,72,69.93
1,3,50.0,72,53.99
1,3,100.0,72,36.96
1,3,200.0,72,4.35
1,3,54.6,24,77.04
1,3,109.2,24,65.3
1,3,163.8,24,54.09
1,3,218.4,24,42.89
1,3,273.0,24,34.15
1,3,327.6,24,26.77
1,3,382.2,24,19.39
1,3,54.6,48,67.87
1,3,109.2,48,47.15
1,3,163.8,48,38.08
1,3,218.4,48,36.01
1,3,273.0,48,31.86
1,3,327.6,48,21.5
1,3,382.2,48,14.24
4,3,10.0,24,91.0
4,3,20.0,24,80.27
4,3,50.0,24,68.7
4,3,100.0,24,51.49
4,3,200.0,24,9.22
4,3,10.0,48,86.31
4,3,20.0,48,76.97
4,3,50.0,48,64.56
4,3,100.0,48,18.63
4,3,200.0,48,9.13
4,3,10.0,72,88.65
4,3,20.0,72,79.33
4,3,50.0,72,57.06
4,3,100.0,72,19.56
4,3,200.0,72,10.82
4,3,10.0,24,94.82
4,3,20.0,24,89.36
4,3,50.0,24,81.69
4,3,100.0,24,54.59
4,3,200.0,24,32.18
4,3,10.0,48,90.8
4,3,20.0,48,87.06
4,3,50.0,48,66.09
4,3,100.0,48,31.6
4,3,200.0,48,10.91
4,3,10.0,72,86.2
4,3,20.0,72,79.02
4,3,50.0,72,72.12
4,3,100.0,72,27.58
4,3,200.0,72,5.74
0,3,50.0,24,96.52
0,3,100.0,24,81.82
0,3,150.0,24,63.64
0,3,200.0,24,62.57
0,3,250.0,24,54.81
0,3,300.0,24,48.4
0,3,600.0,24,32.89
1,3,8.1,24,98.85
1,3,16.3,24,98.28
1,3,32.7,24,89.92
1,3,68.2,24,71.29
1,3,136.4,24,29.08
1,3,272.8,24,15.39
1,3,545.7,24,6.27
1,3,8.1,48,99.23
1,3,16.3,48,89.92
1,3,32.7,48,92.38
1,3,68.2,48,64.06
1,3,136.4,48,25.28
1,3,272.8,48,18.63
1,3,545.7,48,8.93
1,3,8.1,72,99.04
1,3,16.3,72,95.62
1,3,32.7,72,92.01
1,3,68.2,72,76.8
1,3,136.4,72,28.13
1,3,272.8,72,10.83
1,3,545.7,72,3.99
0,3,8.1,24,100.0
0,3,16.3,24,97.82
0,3,32.7,24,98.91
0,3,68.2,24,59.52
0,3,136.4,24,41.74
0,3,272.8,24,20.14
0,3,545.7,24,11.61
0,3,8.1,48,98.91
0,3,16.3,48,98.0
0,3,32.7,48,93.1
0,3,68.2,48,64.79
0,3,136.4,48,30.82
0,3,272.8,48,16.87
0,3,545.7,48,8.34
0,3,8.1,72,98.18
0,3,16.3,72,96.37
0,3,32.7,72,94.55
0,3,68.2,72,89.83
0,3,136.4,72,53.72
0,3,272.8,72,17.96
0,3,545.7,72,9.8
5,3,27.3,24,86.53
5,3,54.6,24,80.8
5,3,109.14,24,65.65
5,3,218.3,24,53.53
5,3,436.6,24,33.33
5,3,27.3,48,81.81
5,3,54.6,48,62.96
5,3,109.14,48,45.79
5,3,218.3,48,25.92
5,3,436.6,48,17.5
5,3,27.3,24,93.1
5,3,54.6,24,83.1
5,3,109.14,24,62.41
5,3,218.3,24,43.79
5,3,436.6,24,33.44
5,3,27.3,48,85.51
5,3,54.6,48,65.86
5,3,109.14,48,50.34
5,3,218.3,48,31.72
5,3,436.6,48,11.72
5,3,27.3,24,85.66
5,3,54.6,24,76.45
5,3,109.14,24,60.75
5,3,218.3,24,51.53
5,3,436.6,24,33.78
5,3,27.3,48,77.8
5,3,54.6,48,60.0
5,3,109.14,48,47.44
5,3,218.3,48,33.1
5,3,436.6,48,23.89
2,3,6.25,24,87.72
2,3,12.5,24,80.86
2,3,25.0,24,71.43
2,3,50.0,24,48.0
2,3,100.0,24,20.0
2,3,3.13,24,83.33
2,3,3.13,48,72.13
2,3,3.13,72,66.16
2,3,6.25,24,63.68
2,3,6.25,48,54.71
2,3,6.25,72,52.83
2,3,12.5,24,34.82
2,3,12.5,48,32.58
2,3,12.5,72,30.09
2,3,25.0,24,24.37
2,3,25.0,48,22.13
2,3,25.0,72,20.14
2,3,50.0,24,14.67
2,3,50.0,48,12.68
2,3,50.0,72,10.19
3,3,10.0,48,69.18
3,3,25.0,48,50.35
3,3,50.0,48,25.69
3,3,100.0,48,13.7
